ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000153822	1.5952461708703394	-2.1741782269652803	1.618707419772218	-1.3431570155347945	0.17922113689553817	0.28129127944142374
ENSG00000164252	69.23036586493865	0.2738998564087797	0.20400231560914295	1.342631114705367	0.179391450092874	0.28153283643039717
ENSG00000074935	184.17243942180966	0.5205210545830512	0.387888818624751	1.341933640749285	0.1796175128951565	0.28186183338714976
ENSG00000172322	1.2486138806355547	2.0048614193492575	1.494264815594344	1.34170422700599	0.17969191593031134	0.28195280233491377
ENSG00000164867	2.366862114501066	-2.6422259608314427	1.9699767708867044	-1.341247267419378	0.17984018445994943	0.2821596456623822
ENSG00000171224	3.4194195959276823	-1.065684788957469	0.7945995404942203	-1.3411595837252066	0.17986864536201216	0.2821784965823722
ENSG00000142549	1.2639961562102575	-2.1903938649113894	1.633690446003947	-1.340764323051013	0.17999698300852443	0.28235401668131854
ENSG00000204315	90.27382474413318	-0.24628110090998498	0.18377037810269542	-1.3401566860375997	0.1801944100614346	0.2826378725508817
ENSG00000106829	2235.363268822332	-0.16126149382157642	0.1204221761455468	-1.339134526407077	0.18052688233193592	0.2831334777926286
ENSG00000105370	0.9655505430133622	-3.336490932379168	2.491985365288364	-1.3388886543453198	0.18060692372836962	0.2832072379209803
ENSG00000114529	0.9655505430133622	-3.336490932379168	2.491985365288364	-1.3388886543453198	0.18060692372836962	0.2832072379209803
ENSG00000135094	1.9707391101083735	1.8467125202380261	1.3796178616223946	1.3385681438382802	0.18071130255518278	0.2833450177503268
ENSG00000184986	12.973344026768336	-0.6093576774264217	0.4553584974358669	-1.3381932715821212	0.18083344189349126	0.2835076836522551
ENSG00000170852	926.6892636988327	0.2173493521618615	0.1624254575945692	1.3381483135752528	0.18084809404207555	0.2835076836522551
ENSG00000100380	5899.665823795409	-0.23395566780533833	0.17485100338646536	-1.3380287403226194	0.18088706814395472	0.2835428754991755
ENSG00000143157	1905.3194351053908	0.2537918467398916	0.18970834029009803	1.337800153392299	0.1809615918809888	0.28363378035023346
ENSG00000146555	7.159097280977873	-0.9341819663744719	0.6983800250664143	-1.3376413025066596	0.18101339374903125	0.2836890582705406
ENSG00000188549	6.470542696437322	-0.8603786862060294	0.6434290484311345	-1.337177251017623	0.18116478573116995	0.28390039214315593
ENSG00000183018	1.9477483851248834	1.8044833492400523	1.3496478500234976	1.3370030924797427	0.18122162739677983	0.2839635326825523
ENSG00000140287	3.527348713216071	-1.186527170684323	0.8875854615421724	-1.336803296240051	0.18128685296996483	0.28403979757635434
ENSG00000131471	5.083219765315869	-1.001784025731227	0.7495653641486675	-1.3364865475995165	0.18139029458569011	0.28417591987776397
ENSG00000214140	15.049415995736812	-0.7622951078982959	0.5704264166095715	-1.3363601083363728	0.18143159849086238	0.2842146778879044
ENSG00000206053	940.1058664782792	-0.12233019671361996	0.0915767146589652	-1.3358220719009386	0.18160743686388334	0.2844401378434033
ENSG00000180113	5.39120019326267	1.069348094209955	0.8005191391584898	1.3358182732945767	0.1816086787547781	0.2844401378434033
ENSG00000110693	6.178322594462285	-1.0455419604920955	0.783083513648605	-1.3351602252748538	0.1818239116770194	0.2847512483163836
ENSG00000179168	2.3065845753852257	-2.58610101265949	1.937946242654158	-1.334454463049314	0.18205496112088143	0.2850870697190913
ENSG00000266918	2.3455196575741666	-2.684516704148695	2.0119590663351636	-1.3342799806750605	0.1821121159814735	0.2851481233378904
ENSG00000175175	9.539963367393984	-0.7432936165694242	0.5570939050992478	-1.3342339770114777	0.18212718753117735	0.2851481233378904
ENSG00000092421	38.37312949064338	-0.5564282661220733	0.4171838819535294	-1.333772204996296	0.18227852281931944	0.28535902322389445
ENSG00000165092	6.120782674517268	0.8940908026760475	0.670589012988915	1.33329175599068	0.1824360780359125	0.2855796211057556
ENSG00000080293	0.9599006573033408	-3.3137836369176137	2.486696167835498	-1.3326049558366593	0.18266147798058377	0.2859063710263507
ENSG00000174306	93.63457210769602	-0.23552664117822936	0.1768802553904341	-1.3315598208423152	0.18300487534559065	0.2864177370409235
ENSG00000065057	216.6593838166592	0.39411271460757613	0.2961281459561046	1.3308856992809994	0.18322662345518398	0.28673863601277333
ENSG00000130675	2.594781353823904	-1.8209611324084634	1.3683170462277583	-1.330803513285591	0.18325367163950373	0.2867548105782585
ENSG00000112576	2530.3612155803526	0.2794816259046559	0.2100617827697166	1.3304734550931707	0.1833623266957501	0.2868986687439066
ENSG00000157181	248.8851573340578	-0.18507510812928074	0.13913164080699084	-1.3302158089691805	0.18344717688825593	0.28700525768657753
ENSG00000135457	914.5382847752716	0.1282066747323649	0.0964199954006319	1.32966895714584	0.18362736712468442	0.2872609742090933
ENSG00000260007	6.976092569720124	-0.9436259420157833	0.7100932973126012	-1.3288760020507209	0.18388888237447099	0.28764385484375726
ENSG00000263874	4.499357533814531	-1.2547974862015425	0.9447531340579959	-1.3281749919281176	0.18412030393671364	0.2879795966222546
ENSG00000168301	130.19674450487202	0.2738675496011253	0.20624585107067755	1.3278693761809286	0.18422126306599682	0.28811124160845625
ENSG00000162409	0.9504788248603898	-3.3010924212054094	2.48686592871978	-1.3274106911363681	0.18437286502899464	0.28825349187161353
ENSG00000143367	65.181850727349385	0.27433541017009155	0.20665400206304624	1.327510754359342	0.18433978483024102	0.28825349187161353
ENSG00000150048	1.9720689842224692	-2.1505874188532026	1.6202254451238636	-1.327338380794775	0.18439677305513516	0.28825349187161353
ENSG00000198633	2.359382858231474	-1.3930471078704405	1.0495148664254903	-1.3273247978039375	0.18440126426628703	0.28825349187161353
ENSG00000081320	2637.5682095857214	-0.1201453020382712	0.09050919582250029	-1.327437515563512	0.1843639966306925	0.28825349187161353
